id,date,text
4,2015.04.16,BIMを活用したバーチャル設計コンペティション「Build Live Japan 2015（以下、BLJ2015）」は、今年度の課題敷地を大分県杵築市に設定することを決定した。課題敷地に決定した杵築市は人口約3万人の城下町で、高低差に富んだ歴史的景観が特徴だ。BLJ2015は、IAI日本が主催するもので、第8回目となる今年の開催では、杵築市などの協力のもと、開催することとなった。BLJ2015では、街の活性化を目指すリアルな官民の取り組みにBIMを活かす提案を求め、参加チームのコンペの模様を街の人々と共有しコミュニケーションする新たな手法にチャレンジするとしている。また、今年度は、社会人チームの参加数増加を図るための方策を準備中だという。BLJ2015は、9月頃に開催される予定で、詳細は今後段階的に発表される。
5,2015.04.16,2007年から設計プロセスにBIMを取り入れ、実プロジェクトで活用してきた安井建築設計事務所は、クライアントメリットを引き出すための実プロジェクトでのBIMの活用と同時に、次の展開やステップもにらんだ先進的BIMである「YASUI STYLE BIM」を展開する。同社設計の青海総合庁舎や北本市庁舎、加賀電子ビルなど、BIMを活用したプロジェクトが次々と竣工しているが、これまでの実践を踏まえ、さらなる発展の基盤となるのがBIMのデータベースであると同社は捉えており、情報の受け皿として､現在「BIM-Design」､「BIM-FM」､「BIM-Cost」の3つのBIMシステムに総括している。すでにBIM-Design､BIM-FMは実践しており、BIM-Costもプロジェクトプロセスの中で一部実践を重ね、現実味を帯びてきているという。BIMによりValue＆Costを含む最適なソリューションを導き出している同社の今後の取り組みと実践がおおいに注目される。
6,2015.04.16,一般社団法人 IAI日本は、第1回目のIFC検定を実施し、3月31日に検定に合格したソフトウェアを発表した。第1回目のIFC検定は「設備モデルビュー定義2014」で、検定区分：出力では、NYKシステムズ、シスプロ、四電工が合格し、検定区分：入力では、エーアンドエー、GSAが合格した。IFCとは、Industry Foundation Classesの略で、2013年に国際標準(ISO 16739:2013)として発行され、中立でオープンなBIMデータ連携の手段として国内外での活用が増加している3次元データ形式のこと。日本でもBIMの利用が広がってきているが、今後さらにBIMの利用が進むことにより、より多くの関係者とBIMモデルをやり取りする必要が生じ、どのようなBIMデータをやり取りするかのルール
7,2015.04.16,大林組は、BIMと連携した自社開発の空調設計支援システム「BIMZONE-Σ（ビムゾーンシグマ）」の追加機能として、熱負荷計算条件自動設定機能を開発した。同機能は、煩雑であった熱負荷計算用のデータを自動作成するため、これまで手動で行っていた入力作業が原則不要となる。そのため、設計者は作業負担の大幅な低減が図れ、さまざまな熱負荷削減手法の検討に注力でき、より高精度で効果的な省エネ建築設計が可能だ。BIMZONE-Σは、BIMと連携し、高精度な動的熱負荷計算プログラム「NewHASP/ACLD」を利用する国内初システム。建築物の「熱負荷削減」は、数ある建築物の省エネルギー手法の中でも、効果的な手法とされているが、同社では今回の新機能の活用により、効果的な省エネルギー建築の設計および顧客の多様なニーズに応える設計、施工を追求していくとしている。
8,2015.04.16,"国土交通省は4月10日に「平成27年2月分の建設工事受注動態統計調査」を公表した。国土交通省総合政策局発表の資料によると、平成27年2月分の建設工事の受注総額は5兆9,280億円で前年同月比8.3％増加となり、5ヵ月連続の増加となった。受注者別に見ると、元請受注高は4兆882億円で前年同月比15.9%増と、5ヵ月連続の増加となった。下請受注高は1兆8,397億円で同5.5%減となり、3ヵ月連続の減少となった。元請受注高のうち公共機関からの受注高は1兆1,005億円で、前年同月比5.0%減少し、民間等からの受注高は2 兆9,878億円で、同26.0%増加した。また、工事種類別に見ると、建築工事は、2兆6,212億円で前年同月比20.1%増、5ヵ月連続の増加。土木工事は、1兆369億円で同1.1%増、2ヵ月連続の増加。機械装置等工事は、4,301億円で同33.9%増、2ヵ月連続の増加となった。"
10,2015.04.16,竹中工務店はドローン（小型無人飛行機）を活用し、（仮称）吹田市立スタジアム作業所の工事の日常管理業務の効率化を図っている。スタジアムの工事は、同時並行的に作業が行われているため、管理者は多くの作業場所を均一に管理する必要があるが、ドローンの撮影映像で作業状況の確認を実践し、品質・安全管理や安全事項伝達を行っている。また、GPS機能のあるドローンを使用しているため、巡回ルートを記憶させることができる。これにより人手が不足する夜間巡回警備をはじめ、異常事態発生時の状況確認に活用。撮影用のヘリコプターに比べ自由度が高く、工事記録の鳥瞰撮影にも利用している。同社は、大屋根設置後も管理者がすぐに行けない箇所の状況を映像で確認するなど、ドローンの活用の幅を、今後さらに広げていく方針だ。
12,2015.04.16,一般社団法人日本建設業連合会（以下、日建連）建築生産委員会 IT推進部会 BIM専門部会は、「施工BIMスタイル －施工段階における元請と専門工事会社の連携手引き2014」を昨年12月に刊行した。同書は、施工段階におけるBIMの活用に取り組む際に、元請会社と専門工事会社の双方にメリットを享受するための具体的な運用方法や事例を含めた手引きとなっている。同書を発行したのは、IT推進部会の中にある4つの部会の1つであるBIM専門部会。専門工事会社との継続的な情報交換やBIM関連諸団体との連携・情報交換などを行っており、多数のオブザーバーが参加し、施工段階でのBIM活用のメリット増大を図ることなどを目的として活動している。
13,2015.04.16,一般社団法人日本建築学会の常設委員会の一つである情報システム技術委員会では、建築・都市と情報科学技術の関係についての調査や啓蒙活動を行っている。情報システム技術委員会の小委員会の一つとして前衛的なポジションにあるのが、アルゴリズミック・デザイン小委員会だ。同小委員会では、アルゴリズミック・デザインに関連した委員の最新の活動内容に関する情報交換や、研究会・シンポジウムの開催などを行っている。アルゴリズミック・デザイン小委員会の主査は、大阪市立大学大学院・准教授の瀧澤重志氏で、委員は15名となっている。その15名の委員の構成が特徴的で、大学の意匠系・計画系・構造系研究者、建築家、構造技術者、新しいタイプのデジタル系エンジニアなど多岐に渡る。同小委員会のこれまでの実績としては、まず、2009年3月に出版された書籍「アルゴリズ
14,2015.04.16,一般社団法人 IAI日本は、BIMを活用したバーチャル設計コンペティション「Build Live Japan2015（以下、BLJ2015）」の開催について、今年度の課題敷地を大分県杵築市に設定すると発表した。第8回目となる今年度は、9月頃に開催される予定で、杵築市などの協力を受け、開催することとなった。今年のBLJ2015では、「BIMと地域創生」をテーマに、街の活性化を目指すリアルな官民の取り組みにBIMを活かす提案を求め、参加チームのコンペの模様を街の人々と共有しコミュニケーションする新たな手法にチャレンジするとしている。課題敷地に決定した杵築市は人口約3万人の城下町で、高低差に富んだ歴史的景観が特徴だ。この街を訪れた観光客は、高台の屋敷と中心商店街を回遊するが、現在、商店街には空き地が目立
15,2015.04.16,一般財団法人建築保全センターの次世代公共建築研究会 IFC／BIM部会は、BIM活用の研究に取り組んでおり、BIMの普及へ向けてさまざまな活動を行っている。IFC／BIM部会は、東京工業大学大学院教授の安田幸一氏を部会長に、参加会員とオブザーバーからなる40名のメンバーで構成され、産学官共同でのBIM運用の研究を行っている部会だ。諸外国のBIMガイドラインおよびBIM活用事例の収集・分析を行う研究活動や、日本でのBIM活用の現状と課題などの分析を行っている。BIMの利用は広がりを見せているが、発注者や受注者などさまざまな立場・異なる組織にまたがる統合的な情報インフラが整っていないのが現状の課題だ。同部会はこの課題を解決することが、BIM普及へつながるとして、「統一的なBIMガイドライ
